;PC4;Locatienaam;Locatienaam_2;Adres;PC6;Plaats;Cap_01012015;Cap_15112015;Soort;Duur;Cap_Gem;gc;Duur tot 4/11;
136;2951;CNO Alblasserdam;Alblasserdam;Lelsstraat 2;2951 VE;Alblasserdam;NA;NA;3;34;35;482;18;
153;3816;CNO Amersfoort;Amersfoort3;Verdistraat 53;3816 LB;Amersfoort;NA;NA;3;34;103;307;27;bron verdeling a'foort: https://gastgezinamersfoort.nl/crisisopvang/
154;3816;CNO Amersfoort;Amersfoort2;Leonorehof 3;3816 ST ;Amersfoort;NA;NA;3;8;103;307;8;
104;1068;CNO Amsterdam;AmsterdamCal;Eliza van Calcarstraat 2;1068 RR;Amsterdam;NA;NA;3;6;375;363;8;bron verdeling a'dam: https://www.at5.nl/artikelen/147645/vluchtelingen_sportcentrum_caland_verhuizen_naar_zuid_en_zuidoost & https://www.nu.nl/amsterdam/4126973/gemeente-vangt-vluchtelingen-in-sportcentrum-caland.html
105;1093;CNO Amsterdam;AmsterdamVer;Polderweg 300;1093KP ;Amsterdam;NA;NA;3;6;70;363;6;
151;3741;CNO Baarn;Baarn;Goeman Borgesiuslaan 2;3741 CR ;Baarn;NA;NA;3;5;150;308;5;
39;5953;CNO Beesel/Reuver;BeeselReuver;Bösdaellaan 1 ;5953 BP ;Reuver;NA;NA;3;3;170;889;4;
166;4617;CNO Bergen op Zoom;BergenopZoom;De Boulevard 6;4617 HA ;Bergen op Zoom;NA;NA;3;4;200;748;4;
177;5684;CNO Best;Best;Pr. Beatrixlaan 27;5684 GJ;Best;NA;NA;3;4;200;753;0;
137;2971;CNO Bleskensgraaf/Molenwaard;BleskensgraafMolenwaard;Melkweg 16a;2971 VK;Bleskensgraaf;NA;NA;3;21;30;1927;7;
133;2811;CNO Bodegraven-Reeuwijk;BodegravenReeuwijk;Buitenomweg 7;2811 BM ;Reeuwijk;NA;NA;3;7;110;1901;7;
164;4451;CNO Borsele;Borsele;Stengeplein 1;4451 CZ;Heinkenszand;NA;NA;3;1;200;654;0;
174;5283;CNO Boxtel;Boxtel;Het Klaverblad 13;5283 TV ;Boxtel;NA;NA;3;55;36;757;41;
168;4826;CNO Breda;Breda2;Terheijdenseweg 500;4826 AB ;Breda;NA;NA;3;5;250;758;5;
140;3232;CNO Brielle;Brielle;Reede 2 2;3232 CV;Brielle;NA;NA;3;3;200;501;3;
199;8162;CNO Brummen;Brummen;Veenweg 9;8162 RJ;Epe;NA;NA;3;4;20;232;4;
152;3752;CNO Bunschoten;Bunschoten;Torenvalk 47 ;3752 SJ ;Bunschoten-Spakenburg;NA;NA;3;8;121;313;8;
160;4328;CNO Burgh Haemstede;BurghHaemstede;Daleboutsweg 9;4328 PN ;Burgh-Haamstede;NA;NA;3;3;200;1676;3;
110;1403;CNO Crailo;Crailo;Amersfoortsestraatweg 85a;1403 AP;Bussum;NA;NA;3;37;104;381;23;
196;7721;CNO Dalfsen;Dalfsen;Ruigedoornstraat 108;7721 BR;Dalfsen;NA;NA;3;1;184;148;0;
150;3738;CNO De Bilt Maartensdijk;BiltMaartensdijk;Nachtegaallaan 30;3738 EB;Maartensdijk;NA;NA;3;5;100;310;5;
185;7002;CNO Doetinchem;Doetinchem2;Bezelhorstweg 115 ;7002 CC ;Doetinchem;NA;NA;3;7;41;222;7;
143;3316;CNO Dordrecht;Dordrecht;Kamerlingh Onnesweg 1;3316 GK;Dordrecht;NA;NA;3;28;107;505;14;
113;1616;CNO Drechterland;Drechterland;Sluisweg 2;1616 RT ;Hoogkarspel;NA;NA;3;7;180;498;0;
184;6922;CNO Duiven;Duiven;Eltensestraat 4 ;6922 JB;Duiven;NA;NA;3;3;300;226;3;
200;8167;CNO Epe;Epe;Hogestraat 5;8167 PS;Oene;NA;NA;3;10;24;232;10;
205;8801;CNO Franeker;Franeker;Jan Rodenhuisplein 3;8801 ET;Franeker;NA;NA;3;5;160;70;5;
208;9873;CNO Gerkesklooster;Gerkesklooster;Hoogstraten 16;9873 PE;Gerkesklooster;NA;NA;3;16;46;59;16;
170;5051;CNO Goirle;Goirle;Grobbendonckpark 42;5051 KR;Goirle;NA;NA;3;5;49;785;5;
119;2141;CNO Haarlemmermeer;Haarlemmermeer;Stelling 1;2141 SB ;Vijfhuizen;NA;NA;3;5;420;394;5;
197;7772;CNO Hardenberg;Hardenberg;Energieweg 2 ;7772 TV ;Hardenberg;NA;NA;3;7;300;160;6;
206;8862;CNO Harlingen;Harlingen;Westerzeedijk 15;8862 PK ;Harlingen;NA;NA;3;6;200;72;6;
117;1964;CNO Heemskerk;Heemskerk;Kerkweg 217;1964 KJ ;Heemskerk;NA;NA;3;6;135;396;0;
203;8445;CNO Heerenveen;Heerenveen;It Hege Stik 9;8445 PZ;Heerenveen;NA;NA;3;6;200;74;6;
