Locatienaam;Locatienaam_2;Adres;PC6;PC4;Plaats;Soort;Cap_Gem;Duur
CNO Amsterdam;AmsterdamCal;Eliza van Calcarstraat 2;1068 RR;1068;Amsterdam;3;375;6
CNO Amsterdam;AmsterdamVer;Polderweg 300;1093KP ;1093;Amsterdam;3;70;6
CNO Landsmeer;Landsmeer;Marktplein 11;1121 GL ;1121;Landsmeer;3;191;6
CNO Monnickendam;Monnickendam;Het Spil 12;1141 SE;1141;Monnickendam;3;150;6
CNO Wijdemeren;Wijdemeren;Zuidsingel 56;1241 HD;1241;Kortenhoef;3;115;9
CNO Laren;Laren;Schapendrift 64;1251;1251;Laren;3;150;5
CNO Crailo;Crailo;Amersfoortsestraatweg 85a;1403 AP;1403;Bussum;3;104;37
CNO Zeevang;Zeevang;De Krommert 25;1474 PM;1474;Oosthuizen;3;90;6
CNO Oostzaan;Oostzaan;Twiskeweg 107;1511 BW;1511;Oostzaan;3;100;2
CNO Drechterland;Drechterland;Sluisweg 2;1616 RT ;1616;Hoogkarspel;3;180;7
CNO Hoorn;Hoorn;Meetketting 1-3;1689 XD ;1689;Zwaag;3;190;9
CNO Schagen;Schagen;Zuiderweg 2a;1741 NA ;1741;Schagen;3;193;9
CNO Hollands Kroon;HollandsKroon;Sportlaan 21;1761 ZA;1761;Anna Paulowna;3;200;8
CNO Heemskerk;Heemskerk;Kerkweg 217;1964 KJ ;1964;Heemskerk;3;135;6
CNO Zandvoort;Zandvoort;Duintjesveldweg 1A;2041 TA;2041; Zandvoort.;3;146;8
CNO Haarlemmermeer;Haarlemmermeer;Stelling 1;2141 SB ;2141;Vijfhuizen;3;420;5
CNO Lisse;Lisse;Sportlaan 21 ;2161 VA;2161;Lisse;3;150;6
CNO Hillegom;Hillegom;Vosselaan 152;2181 CD;2181;Hillegom;3;150;6
CNO Teijlingen;Teijlingen;Jacoba van Beierenweg 118A;2215 KZ;2215;Teijlingen (Voorhout);3;150;6
CNO Voorschoten;Voorschoten;Burgemeester van der Haarplein 9;2251 CT;2251;Voorschoten;3;120;7
CNO Leidschendam;Leidschendam;Fluitpolderplein 1;2262 ED;2262;Leidschendam;3;200;6
CNO Leiden;Leiden2;Smaragdlaan 99;2332 JP;2332;Leiden;3;122;15
CNO Oegstgeest;Oegstgeest;De Voscuyl 36;2341 BJ;2341;Oegsgeest;3;200;1
CNO Kaag en Braassem;KaagenBraassem;Lucas van Leydenlaan 2;2371 RW ;2371;Roelofarendsveen;3;120;6
CNO Zoeterwoude;Zoeterwoude;Hondsdrafweg 1;2381 BZ;2381;Zoeterwoude;3;120;7
CNO Nieuwkoop;Nieuwkoop;De Verbinding 48;2421 EX;2421;Nieuwkoop;3;120;6
CNO Pijnacker;Pijnacker;Sportlaan 1;2641 AZ;2641;Pijnacker;3;150;4
CNO Lansingerland;Lansingerland;Burg. van Oostenweg 4;2661 HN ;2661;Bergschenhoek;3;80;6
CNO Waddinxveen;Waddinxveen;Oude Dreef 4;2741 SR;2741;Waddinxveen;3;148;5
CNO Bodegraven-Reeuwijk;BodegravenReeuwijk;Buitenomweg 7;2811 BM ;2811;Reeuwijk;3;110;7
CNO ZuidplasNieuwerkerk;ZuidplasNieuwerkerk;Sportlaan 2;2913 LJ ;2913;Nieuwerkerk a/d IJssel;3;150;6
CNO Krimpen aan de Ijssel;KrimpenadIjssel;Krimpenerbosweg 2 A;2923 LA;2923;Krimpen aan Den IJssel;3;100;26
CNO Alblasserdam;Alblasserdam;Lelsstraat 2;2951 VE;2951;Alblasserdam;3;35;34
CNO Bleskensgraaf/Molenwaard;BleskensgraafMolenwaard;Melkweg 16a;2971 VK;2971;Bleskensgraaf;3;30;21
CNO Rotterdam Erasmus;RotterdamErasmus;Burgemeester Oudlaan 50;3062 PA;3062;Rotterdam;3;214;16
CNO Maassluis;Maassluis;Rozenlaan 2;3144 NN ;3144;Maassluis;3;200;4
CNO Brielle;Brielle;Reede 2 2;3232 CV;3232;Brielle;3;200;3
CNO Sommelsdijk;Sommelsdijk;Olympiaweg 32;3245 DL ;3245;Sommelsdijk;3;75;6
CNO Oud Beijerland;OudBeijerland;Hortensiastraat 5;3261 BG;3261;Oud-Beijerland;3;100;28
CNO Dordrecht;Dordrecht;Kamerlingh Onnesweg 1;3316 GK;3316;Dordrecht;3;107;28
CNO Zwijndrecht;Zwijndrecht;Hobbemastraat;3331;3331;Zwijndrecht;3;27;35
CNO Hendrik Ido Ambacht;HendrikIdoAmbacht;Weteringsingel 143;3342 AH;3342;Hendrik Ido Ambacht;3;22;35
CNO Sliedrecht;Sliedrecht;Frans Halsstraat 1;3362XA;3362;Sliedrecht;3;35;34
CNO Woerden;Woerden;Steinhagenseweg 3a ;3446 GP;3446;Woerden;3;150;6
CNO Stichtse Vecht;StichtseVecht;Sportweg 4;3628 AZ ;3628;Kockengen;3;150;6
CNO Zeist;Zeist2;Huis Ter Heideweg 19;3705 MA ;3705;Zeist;3;144;13
CNO De Bilt Maartensdijk;BiltMaartensdijk;Nachtegaallaan 30;3738 EB;3738;Maartensdijk;3;100;5
CNO Baarn;Baarn;Goeman Borgesiuslaan 2;3741 CR ;3741;Baarn;3;150;5
CNO Bunschoten;Bunschoten;Torenvalk 47 ;3752 SJ ;3752;Bunschoten-Spakenburg;3;121;8
CNO Amersfoort;Amersfoort2;Leonorehof 3;3816 ST ;3816;Amersfoort;3;103;8
CNO Amersfoort;Amersfoort3;Verdistraat 53;3816 LB;3816;Amersfoort;3;103;34
CNO Veenendaal;Veenendaal;Sportlaan 1-3;3905 AD ;3905;Veenendaal;3;150;5
CNO Woudenberg;Woudenberg;De Bosrand 15;3931 AP;3931;Woudenberg;3;150;6
CNO Houten;Houten;Hefbrug 3;3991 LB;3991;Houten;3;200;1
CNO Leerdam;Leerdam;Quirinus de Palmelaan 110;4142 CJ;4142;Leerdam;3;40;20
CNO Woudrichem;Woudrichem;Steurstraat 59a;4285 XE;4285;Woudrichem;3;50;6
CNO Burgh Haemstede;BurghHaemstede;Daleboutsweg 9;4328 PN ;4328;Burgh-Haamstede;3;200;3
CNO Middelburg;Middelburg2;Kruitmolenlaan 127;4337 KP;4337;Middelburg;3;200;6
CNO Vlissingen;Vlissingen;Rooseveltlaan 731;4383NG;4383;Vlissingen;3;194;2
CNO Kapelle;Kapelle;Vroonlandseweg 45;4421 BW ;4421;Kapelle;3;200;3
CNO Borsele;Borsele;Stengeplein 1;4451 CZ;4451;Heinkenszand;3;200;1
CNO Sluis;Sluis;Noorddijk 3;4506 JE;4506;Sluist (Cadzand-Bad);3;200;5
